dv - | INFO flwr 2024-10-12 18:12:37,172 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:12:37,172 | server.py:113 | [ROUND 36]
dv - | INFO flwr 2024-10-12 18:12:37,173 | server.py:226 | configure_fit: strategy sampled 50 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:12:48,190 | server.py:240 | aggregate_fit: received 50 results and 0 failures
dv - | INFO flwr 2024-10-12 18:12:48,233 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:12:52,248 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-10-12 18:12:52,249 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:12:52,250 | server.py:113 | [ROUND 37]
dv - | INFO flwr 2024-10-12 18:12:52,250 | server.py:226 | configure_fit: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:13:02,322 | server.py:240 | aggregate_fit: received 52 results and 0 failures
dv - | INFO flwr 2024-10-12 18:13:02,370 | server.py:178 | configure_evaluate: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:13:06,388 | server.py:192 | aggregate_evaluate: received 52 results and 0 failures
dv - | INFO flwr 2024-10-12 18:13:06,389 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:13:06,389 | server.py:113 | [ROUND 38]
dv - | INFO flwr 2024-10-12 18:13:06,390 | server.py:226 | configure_fit: strategy sampled 46 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:13:15,437 | server.py:240 | aggregate_fit: received 46 results and 0 failures
dv - | INFO flwr 2024-10-12 18:13:15,491 | server.py:178 | configure_evaluate: strategy sampled 46 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:13:18,525 | server.py:192 | aggregate_evaluate: received 46 results and 0 failures
dv - | INFO flwr 2024-10-12 18:13:18,526 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:13:18,526 | server.py:113 | [ROUND 39]
dv - | INFO flwr 2024-10-12 18:13:18,527 | server.py:226 | configure_fit: strategy sampled 41 clients (out of 100)
