dv - | DEBUG flwr 2024-09-11 13:46:40,033 | dvsaa_afl.py:176 | sample size 2
dv - | INFO flwr 2024-09-11 13:46:40,033 | server.py:226 | configure_fit: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:45,078 | server.py:240 | aggregate_fit: received 2 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:46:45,078 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:46:45,078 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['-2882069058387825482', '1227754372335181873']
dv - | INFO flwr 2024-09-11 13:46:45,078 | server.py:178 | configure_evaluate: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:46,087 | server.py:192 | aggregate_evaluate: received 2 results and 0 failures
dv - | INFO flwr 2024-09-11 13:46:46,087 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:46:46,087 | server.py:113 | [ROUND 10]
dv - | CRITICAL flwr 2024-09-11 13:46:46,087 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:46:46,087 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:46:46,087 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['3834905379212364310', '3290520909799058613', '-3914441494733611112', '503795445624714053']
dv - | DEBUG flwr 2024-09-11 13:46:46,087 | dvsaa_afl.py:176 | sample size 4
dv - | INFO flwr 2024-09-11 13:46:46,087 | server.py:226 | configure_fit: strategy sampled 4 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:52,150 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:46:52,150 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:46:52,150 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['6527471679806967035', '503795445624714053', '1227754372335181873', '-8936847233666666962']
dv - | INFO flwr 2024-09-11 13:46:52,150 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:53,161 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-09-11 13:46:53,161 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:46:53,161 | server.py:113 | [ROUND 11]
dv - | CRITICAL flwr 2024-09-11 13:46:53,161 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:46:53,161 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:46:53,161 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['-2882069058387825482', '-8936847233666666962', '1227754372335181873']
dv - | DEBUG flwr 2024-09-11 13:46:53,161 | dvsaa_afl.py:176 | sample size 3
dv - | INFO flwr 2024-09-11 13:46:53,161 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:59,233 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:46:59,233 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:46:59,233 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['-2882069058387825482', '6527471679806967035', '3834905379212364310']
dv - | INFO flwr 2024-09-11 13:46:59,233 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:00,256 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-09-11 13:47:00,256 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:47:00,256 | server.py:113 | [ROUND 12]
dv - | CRITICAL flwr 2024-09-11 13:47:00,256 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:47:00,256 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:47:00,258 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['3290520909799058613', '-3914441494733611112']
dv - | DEBUG flwr 2024-09-11 13:47:00,258 | dvsaa_afl.py:176 | sample size 2
dv - | INFO flwr 2024-09-11 13:47:00,258 | server.py:226 | configure_fit: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:05,289 | server.py:240 | aggregate_fit: received 2 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:47:05,289 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:47:05,289 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['6527471679806967035', '-2882069058387825482']
dv - | INFO flwr 2024-09-11 13:47:05,289 | server.py:178 | configure_evaluate: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:47:06,296 | server.py:192 | aggregate_evaluate: received 2 results and 0 failures
dv - | INFO flwr 2024-09-11 13:47:06,296 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:47:06,296 | server.py:113 | [ROUND 13]
dv - | CRITICAL flwr 2024-09-11 13:47:06,296 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:47:06,296 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:47:06,296 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['-8936847233666666962', '503795445624714053']
dv - | DEBUG flwr 2024-09-11 13:47:06,296 | dvsaa_afl.py:176 | sample size 2
dv - | INFO flwr 2024-09-11 13:47:06,296 | server.py:226 | configure_fit: strategy sampled 2 clients (out of 8)
